"","season","schl","result","games"
"492",2013,"Oklahoma","W",23
"493",2013,"Oklahoma State","L",13
"494",2013,"Oklahoma State","W",21
"495",2013,"Oral Roberts","L",16
"496",2013,"Oral Roberts","W",17
"497",2013,"Pittsburgh","L",10
"498",2013,"Pittsburgh","W",26
"499",2013,"Purdue","L",17
"500",2013,"Purdue","W",15
"501",2013,"Robert Morris","L",14
"502",2013,"Robert Morris","W",22
"503",2013,"South Dakota","L",18
"504",2013,"South Dakota","W",12
"505",2013,"South Dakota State","L",13
"506",2013,"South Dakota State","W",19
"507",2013,"Southern Illinois","L",19
"508",2013,"Southern Illinois","W",14
"509",2013,"Toledo","L",7
"510",2013,"Toledo","W",27
"511",2013,"Tulsa","L",13
"512",2013,"Tulsa","W",21
"513",2013,"Valparaiso","L",16
"514",2013,"Valparaiso","W",18
"515",2013,"Western Michigan","L",10
"516",2013,"Western Michigan","W",23
"517",2013,"Wichita State","L",1
"518",2013,"Wichita State","W",35
"519",2013,"Wisconsin","L",8
"520",2013,"Wisconsin","W",30
"521",2013,"Wright State","L",15
"522",2013,"Wright State","W",21
"523",2013,"Youngstown State","L",17
"524",2013,"Youngstown State","W",15
"525",2014,"Akron","L",14
"526",2014,"Akron","W",21
"527",2014,"Ball State","L",23
"528",2014,"Ball State","W",7
"529",2014,"Belmont","L",11
"530",2014,"Belmont","W",22
"531",2014,"Bowling Green State","L",12
"532",2014,"Bowling Green State","W",21
"533",2014,"Bradley","L",24
"534",2014,"Bradley","W",9
"535",2014,"Buffalo","L",10
"536",2014,"Buffalo","W",23
"537",2014,"Butler","L",11
"538",2014,"Butler","W",23
"539",2014,"Central Michigan","L",9
"540",2014,"Central Michigan","W",23
"541",2014,"Chicago State","L",24
"542",2014,"Chicago State","W",8
"543",2014,"Cincinnati","L",11
"544",2014,"Cincinnati","W",23
"545",2014,"Cleveland State","L",15
"546",2014,"Cleveland State","W",19
"547",2014,"Creighton","L",19
"548",2014,"Creighton","W",14
"549",2014,"Denver","L",18
"550",2014,"Denver","W",12
"551",2014,"Detroit Mercy","L",18
"552",2014,"Detroit Mercy","W",15
"553",2014,"Drake","L",22
"554",2014,"Drake","W",9
"555",2014,"Eastern Michigan","L",14
"556",2014,"Eastern Michigan","W",21
"557",2014,"Evansville","L",12
"558",2014,"Evansville","W",24
"559",2014,"Green Bay","L",9
"560",2014,"Green Bay","W",24
"561",2014,"Illinois","L",14
"562",2014,"Illinois","W",19
"563",2014,"Illinois-Chicago","L",24
"564",2014,"Illinois-Chicago","W",10
"565",2014,"Illinois State","L",13
"566",2014,"Illinois State","W",22
"567",2014,"Indiana","L",14
"568",2014,"Indiana","W",20
"569",2014,"Indiana State","L",16
"570",2014,"Indiana State","W",15
"571",2014,"Iowa","L",12
"572",2014,"Iowa","W",22
"573",2014,"Iowa State","L",9
"574",2014,"Iowa State","W",25
"575",2014,"IUPUI","L",21
"576",2014,"IUPUI","W",10
"577",2014,"Kansas","L",9
"578",2014,"Kansas","W",27
